OBJECTID,REF_NUMBER,TIME,SEVERITY,VEHICLES,CASUALTIES,PEDESTRIAN,CYCLES,MCYCLES,CHILDREN,ACCIDENT_DESCRIPTION
803,141408081,921,1,2,1,0,0,0,0,3
804,141408093,1740,1,2,1,0,1,0,0,3
827,141408447,800,2,2,1,0,0,1,0,1
836,141408310,1025,1,2,1,0,0,1,0,3
943,141408910,930,2,2,1,0,0,1,0,1
958,151500092,1715,1,2,1,0,1,0,0,3
973,151500275,1450,1,1,1,1,0,0,0,5
976,141409135,1640,1,1,1,1,0,0,1,5
856,141408781,1630,1,2,1,0,0,0,0,1
858,141408803,800,1,2,1,0,0,0,0,1
861,141408943,850,1,2,1,0,0,1,0,1
886,141409235,2246,1,2,5,0,0,0,0,1
887,141409241,2226,1,2,1,0,0,1,0,1
890,141409260,1730,1,2,1,0,1,0,0,1
910,141500056,1406,1,2,4,0,0,0,0,2
922,141408535,1615,1,2,1,0,0,0,0,3
936,141408787,850,1,1,1,1,0,0,1,5
1108,151501675,1542,1,4,1,0,0,0,0,1
1111,151501755,1535,1,1,1,1,0,0,1,5
995,151500230,1445,1,2,1,0,0,1,0,1
1003,141500437,1234,2,2,1,0,1,0,0,1
1005,151500466,741,1,2,1,0,1,0,0,3
1010,151500539,1820,2,1,1,1,0,0,0,5
1034,151500721,1737,1,2,1,0,0,0,0,2
1035,151500749,815,1,2,1,0,1,0,0,6
1041,151500935,1210,1,2,1,0,1,0,0,1
1048,151500940,1620,1,1,1,1,0,0,0,5
1130,151501980,1505,1,2,2,0,0,0,1,2
1133,151501784,855,1,2,1,0,1,0,0,1
1141,151501933,1400,2,1,1,0,0,0,0,1
1149,151502048,1000,1,2,1,0,0,0,0,1
1151,151502091,1420,1,2,1,0,1,0,0,1
1060,151501074,1320,1,2,1,0,1,0,0,6
1070,151501395,1146,3,5,1,0,0,0,0,1
1072,151501434,635,1,1,1,1,0,0,0,5
1077,141406251,840,1,2,2,0,0,0,0,2
1087,151501427,1637,1,1,1,1,0,0,0,5
1092,151501480,2305,1,1,1,1,0,0,0,5
1106,151501629,1159,1,2,1,0,0,0,0,2
1107,151501666,1420,2,2,1,0,0,1,0,1
1157,151501926,930,1,2,1,0,0,0,0,1
1164,151502222,1453,1,2,1,0,0,0,0,2
1168,151502236,1737,1,4,2,0,0,0,0,1
1172,151502300,810,1,1,1,0,1,0,0,1
1292,151503201,753,2,2,1,0,0,1,0,3
1177,151502332,404,1,1,1,1,0,0,0,5
1185,151502346,1630,1,2,1,0,1,0,0,2
1190,151502376,2300,1,2,1,0,1,0,0,3
1195,141502451,350,1,2,1,0,0,0,0,2
1197,141401248,1647,1,4,1,0,0,0,0,3
1198,141407709,1500,1,2,1,0,1,0,0,3
1207,141407826,345,1,2,2,0,0,0,0,1
1211,141407900,1830,1,2,1,0,1,0,0,1
1221,141400000,2247,3,1,1,0,0,0,0,4
1224,151502285,1215,1,1,3,0,0,0,0,1
1241,151502702,1826,1,3,2,0,0,0,0,2
1322,151503533,350,1,1,1,1,0,0,0,5
1325,151502769,2118,1,2,1,0,0,0,1,2
1259,151502751,1730,1,2,1,0,1,0,0,2
1266,151502894,545,1,2,1,0,0,0,0,1
1267,151502899,710,1,2,1,0,0,1,0,1
1269,151502971,2030,1,2,1,0,1,0,0,3
1272,151502803,1450,1,1,1,1,0,0,0,5
1280,151503088,1355,1,3,2,0,0,0,0,4
1288,151503055,914,3,2,3,0,0,0,2,1
1341,151503362,625,1,2,1,0,0,1,0,3
1349,151503994,740,1,2,1,0,0,0,0,1
1461,151504877,918,1,2,1,0,0,0,0,2
1465,151504906,1520,1,2,1,0,1,0,0,3
1476,151505063,830,2,2,1,0,1,0,0,3
1484,151505109,410,1,2,1,0,1,0,0,3
1497,151505241,2345,2,2,1,0,1,0,0,1
1500,151505272,1705,1,2,1,0,0,0,0,2
1356,151503967,1500,1,2,1,0,0,1,0,2
1357,151504067,2330,1,3,2,0,0,0,0,2
1367,151504187,749,1,2,1,0,0,0,1,1
1372,141503373,1545,2,2,1,0,0,1,0,3
1380,151503577,2300,1,2,1,0,1,0,0,6
1388,151503725,1855,1,2,2,0,0,0,1,1
